Term,IDF
алан,0.823909
аландский,1.39794
алатка,2.0
алаш,2.0
алб,2.0
албанец,1.39794
албания,1.09691
албанский,1.30103
алберт,1.69897
алгебра,2.0
алгол,1.39794
алгоритм,0.920819
алгоритмизация,2.0
алдить,2.0
але,2.0
алевкурп,2.0
алек,1.522879
алекпер,2.0
алекс,0.958607
александара,1.522879
александер,2.0
александр,0.443697
александра,1.522879
александреска,2.0
александрийский,1.69897
александрина,2.0
александрия,1.522879
александро,2.0
александров,1.39794
александрович,0.958607
александровский,1.522879
алексашенко,2.0
алексеев,1.522879
алексеевич,1.221849
алексеенко,2.0
алексей,0.585027
алексий,2.0
алексис,2.0
алем,2.0
алеманн,2.0
ален,1.69897
алеппо,1.69897
алесь,2.0
алеф,1.69897
алжир,1.221849
алжирский,1.154902
али,0.769551
алиев,1.30103
ализар,2.0
алим,1.522879
алин,2.0
алина,1.69897
алиреза,2.0
алистер,1.522879
алиханов,2.0
алишер,1.69897
алкоголь,1.522879
алкогольный,1.522879
алла,1.69897
алламе,2.0
аллард,1.69897
аллах,2.0
аллегров,2.0
аллен,1.30103
аллея,1.69897
аллювиальный,1.69897
аллюзия,1.522879
алма,1.30103
алмаз,2.0
алмазамикавалер,2.0
алмазный,1.69897
алмазодобывающий,2.0
алмазь,2.0
алматы,1.39794
алмаш,2.0
алов,2.0
алок,1.69897
алолум,2.0
алом,1.69897
алрос,2.0
алроса,2.0
алтай,2.0
алтарь,1.69897
алтернатив,2.0
алтухов,1.69897
алтушкина,2.0
алушта,2.0
алфавит,0.886057
алфавитный,1.69897
алфавитуактриса,2.0
алфавитуархитектор,2.0
алфавитувикипедия,0.721246
алфавитувольный,2.0
алфавитугород,1.69897
алфавитудетский,2.0
алфавитужурналист,2.0
алфавитуиранский,2.0
алфавитуминистр,2.0
алфавитунаселить,2.0
алфавитуписатель,2.0
алфавитупоэта,2.0
алфавитупоявиться,2.0
алфавитупрезидент,2.0
алфавитупро,1.0
алфавитупрограммный,2.0
алфавитуродившийся,1.39794
алфавитусайт,1.522879
алфавитусемейство,2.0
алфавитусепаратизм,1.522879
алфавитустатья,1.39794
алфавитустолицый,2.0
алфавитустрана,1.69897
алфавитустраница,2.0
алфавитуучебный,2.0
алфавитуучёный,2.0
алфавитуфильм,1.69897
алфавитуфлаг,1.69897
алфавитуязык,1.39794
алфеев,2.0
алфорд,2.0
алхимия,2.0
алчевский,2.0
алый,1.69897
алыш,2.0
аль,0.823909
альб,2.0
альбер,1.522879
альбервиль,1.69897
альберт,1.09691
альбертинский,2.0
альберто,1.522879
альбертович,2.0
альбом,1.045757
альборзой,2.0
альбрехт,1.69897
альва,1.69897
альварад,2.0
альвено,2.0
альда,2.0
альдельма,2.0
альма,1.522879
альме,1.522879
альмохад,2.0
альпина,1.69897
альпинизм,1.522879
альпинист,1.30103
альпы,1.39794
альт,2.0
альтен,2.0
альтенбург,2.0
альтепетль,2.0
альтернатива,1.154902
альтернативный,0.958607
альтинг,2.0
альтистка,1.69897
альто,2.0
альтьерь,1.69897
альф,2.0
альфа,1.69897
альфастрахование,2.0
альфонс,2.0
альфонсин,2.0
альфонсина,2.0
альфонсо,1.69897
альфред,1.221849
альцгеймер,2.0
альянс,1.09691
альяссим,2.0
алюминиевый,2.0
алюминий,1.69897
аляповатый,2.0
алярд,1.69897
аляска,1.39794
алёша,1.69897
алёшин,1.69897
ама,2.0
амагера,2.0
амазония,2.0
амазонка,1.69897
амазонский,1.522879
аманда,1.30103
амаракаэри,2.0
амарантовый,2.0
амаэ,2.0
амбазония,1.522879
амбициозный,2.0
амбиция,2.0
амбразура,2.0
амед,1.69897
амедео,1.69897
амейотический,2.0
амелунг,2.0
амеля,2.0
амер,1.69897
америго,1.69897
америка,0.49485
американец,0.79588
американский,0.337242
америкать,1.30103
америкискрыть,2.0
амикоана,2.0
амилкара,1.69897
амин,1.522879
амир,1.39794
амирабад,2.0
амиран,2.0
амирханян,2.0
амман,1.39794
аммиак,2.0
аммоний,2.0
амна,1.522879
амниотыклад,2.0
амнистия,1.69897
амо,1.69897
аморальность,2.0
аморальный,1.522879
аморозить,2.0
амперсанд,1.522879
ампеццо,2.0
ампир,2.0
ампициллин,2.0
амплитуда,2.0
амра,2.0
амри,1.69897
амрико,2.0
амритсар,1.69897
амс,2.0
амстердам,1.522879
амстердамский,1.69897
аму,2.0
амур,1.221849
амурский,1.30103
амфиан,2.0
амфиана,2.0
амфибия,2.0
амфитрид,1.69897
амфр,2.0
амхерстский,2.0
амьенскай,2.0
ана,1.522879
анаболик,2.0
анадолу,1.69897
аназ,2.0
анактувук,2.0
анализ,0.886057
анализатор,2.0
анализировать,1.30103
анализироваться,2.0
аналитик,1.045757
аналитика,1.522879
аналитический,1.69897
аналог,1.0
аналогично,1.522879
аналогичный,0.69897
аналогия,1.154902
аналоговый,2.0
ананая,2.0
ананий,2.0
ананченко,2.0
ананьин,2.0
анапа,1.69897
анапский,1.69897
анархизм,2.0
анархист,1.522879
анархистский,2.0
анархия,2.0
анастасий,1.69897
анастасия,1.39794
анат,1.69897
анатолиевич,1.522879
анатолий,0.744727
анатолия,2.0
анатомия,1.522879
анахит,2.0
анахронизм,2.0
анб,2.0
ангар,2.0
ангарский,2.0
ангел,1.39794
ангела,1.522879
ангелина,1.522879
ангилья,1.522879
англ,0.200659
англиикеннедиджон,2.0
английски,2.0
английский,0.408935
английскогостатья,2.0
англиканин,1.69897
англиканский,1.522879
англиканство,2.0
англичанин,0.958607
англия,0.638272
англосаксонский,1.69897
англофобия,2.0
англоязычный,1.221849
ангнуть,0.823909
ангола,1.39794
анголо,2.0
ангольский,2.0
ангорский,2.0
андаки,2.0
андалузия,2.0
андалус,1.69897
андалусие,2.0
андаман,1.69897
андаманскией,1.69897
андаманский,1.69897
андеграундный,2.0
андеррайтер,1.69897
андерс,2.0
андерсен,1.522879
андерсенафильм,2.0
андерсенаэтота,2.0
андерсенград,2.0
андерсендат,2.0
андерсенсборник,2.0
андерсенскрыть,2.0
андерсон,1.39794
андерхилла,2.0
анджела,1.39794
анджелес,1.09691
анджелина,2.0
анджелиса,1.69897
анджелко,2.0
анджело,2.0
анджёлка,2.0
андий,1.522879
андик,2.0
андок,2.0
андорра,1.522879
андра,2.0
андре,1.30103
андреа,1.30103
андреас,1.69897
андреев,1.69897
андрееваандрей,1.69897
андреевич,1.221849
андреевка,1.69897
андреевский,1.39794
андрей,0.79588
андреотти,2.0
андресова,2.0
андриессти,2.0
андрий,2.0
андрис,2.0
андриссный,2.0
андроид,2.0
андромах,1.69897
андроник,1.69897
андроникашвили,2.0
андропов,1.69897
андский,1.69897
андхра,1.69897
анды,1.69897
анжелика,2.0
анжелко,2.0
ани,2.0
анизогамия,2.0
анималист,2.0
аниматор,1.30103
анимационный,1.221849
анимация,1.522879
аниме,1.09691
анимегид,2.0
анимешник,2.0
анимешный,2.0
анимировать,1.69897
анимэ,2.0
анисимов,2.0
анит,2.0
аничков,1.69897
анк,1.522879
анкара,1.221849
анкер,2.0
анкеровский,2.0
анкетирование,1.522879
анна,0.769551
аннабель,2.0
анналы,2.0
анне,1.69897
аннегрета,2.0
аннексионистский,1.69897
аннексировать,1.39794
аннексия,0.886057
аннелиса,2.0
анненковдмитрий,1.69897
аннетта,2.0
аннотация,1.30103
аннотировать,1.522879
аннулирование,2.0
аннулировать,1.522879
аннулироваться,2.0
ано,2.0
анодировать,2.0
аномалия,2.0
анонимизация,2.0
анонимный,1.045757
анонимуса,2.0
анонс,2.0
анонсировать,1.0
анри,1.522879
анрио,2.0
ансальдо,2.0
ансальдь,1.69897
ансамбль,2.0
ансар,1.69897
ансбах,2.0
ансельма,2.0
ансерма,2.0
ант,1.69897
анталла,2.0
анталлом,2.0
антанта,1.522879
антарктида,1.522879
антарктика,1.522879
антарктический,1.522879
антарктичний,2.0
антверпен,1.69897
антверпенский,2.0
антенор,1.69897
антея,2.0
анти,2.0
антибиотик,1.522879
антиблокировочный,2.0
антивирусный,2.0
антивоенный,1.39794
антигитлеровский,2.0
антиглобалист,1.69897
антиглобалистский,2.0
антигуа,1.39794
антигуманный,2.0
антидепрессант,2.0
антидопинговый,2.0
антиженевский,2.0
антизападный,1.69897
антиква,1.69897
антиквариат,2.0
антикоррупционный,2.0
антильский,1.69897
антиохийский,2.0
антипод,2.0
антирасистский,1.69897
антирента,1.522879
антироссийский,1.30103
антирумынский,1.69897
антисанитария,2.0
антисемит,2.0
антисемитизм,1.39794
антисемитический,2.0
антисоветский,1.522879
антитурецкий,2.0
антиутопический,2.0
антиутопия,2.0
антифашист,1.522879
античность,1.221849
античный,1.69897
антология,1.69897
антон,0.920819
антоненко,2.0
антони,2.0
антоние,2.0
антоний,2.0
антонио,1.39794
антониу,2.0
антонов,2.0
антрепренёр,2.0
антрополог,1.69897
антропологически,2.0
антропологический,1.30103
антропология,2.0
антропоморфизм,2.0
антураж,2.0
анук,2.0
анфертьев,1.69897
анхальт,1.69897
аншана,2.0
аншба,2.0
аньеза,1.69897
аня,2.0
аомынь,2.0
аорс,2.0
апа,2.0
ападан,2.0
апаратый,2.0
апартеид,1.69897
апат,1.69897
апгод,2.0
апдейт,2.0
апельсиновый,1.39794
апиан,2.0
апл,2.0
аплета,1.69897
аплетов,2.0
апликативень,2.0
апогей,2.0
апокалипсис,2.0
аполитичный,2.0
аполлон,2.0
аполлониадский,2.0
апомиксис,2.0
апостол,1.154902
апостольский,1.69897
апостроф,2.0
апофис,2.0
аппарат,0.853872
аппаратный,1.09691
аппаратура,2.0
апперо,2.0
аппион,2.0
апплет,1.39794
аппликативный,1.69897
аппликационный,2.0
апр,1.522879
апраксин,1.522879
апрель,0.136677
апрельский,2.0
апреляродившийся,1.69897
апреляскрыть,2.0
април,2.0
априори,2.0
апрош,2.0
апсон,2.0
апстрактний,2.0
апстрактный,2.0
араб,1.09691
арабат,1.69897
арабатский,1.69897
араби,2.0
арабизировать,2.0
арабист,2.0
арабистан,2.0
арабишный,2.0
арабия,2.0
арабо,1.69897
арабский,0.638272
аравакский,2.0
араванский,2.0
аравиигосударство,1.69897
аравийский,1.522879
аравия,0.744727
араго,2.0
аракелович,1.69897
аракчин,2.0
арамейский,2.0
аранжировщик,2.0
арара,2.0
аратинг,2.0
араукан,1.522879
арауканий,1.522879
арауканский,2.0
арафат,1.69897
арахсамна,2.0
арбакл,2.0
арбалетчик,2.0
арбанвилл,2.0
арбатр,1.69897
арбатский,1.69897
арбитр,2.0
арбитражный,1.522879
арвандкенара,2.0
арвандрудый,2.0
аргентина,0.823909
аргентино,1.522879
аргентинский,0.958607
арго,2.0
аргонавт,1.69897
аргумент,0.823909
аргументация,2.0
аргументированный,2.0
ардаган,1.69897
ардаланский,1.69897
ардать,2.0
ардашир,2.0
ардебиль,1.522879
арджан,2.0
арджеш,2.0
ардмор,2.0
ареал,1.39794
арена,0.920819
аренда,1.69897
арендный,1.522879
арендовать,2.0
арест,0.886057
арести,2.0
арестовать,0.823909
арзаканян,2.0
арзамасский,2.0
ариан,2.0
аридоамерика,2.0
арие,2.0
ариель,1.69897
аризона,2.0
арий,2.0
арикар,1.522879
аристократический,1.69897
аристократия,1.69897
аристократка,2.0
аритметици,2.0
аритметичка,2.0
аритметичкий,2.0
ариф,2.0
арифметика,1.69897
арифметический,1.39794
ариэль,2.0
ариямехр,2.0
арк,2.0
арка,2.0
аркадий,1.69897
арканзас,2.0
арклатех,2.0
аркнк,2.0
арктик,2.0
арктика,1.522879
арктический,2.0
арлена,2.0
арльт,2.0
армагеддон,2.0
армада,2.0
армейский,1.0
армелина,1.69897
армен,1.69897
армениигосударство,2.0
армения,0.79588
арменпресс,2.0
армент,2.0
арми,1.522879
армированный,2.0
армировать,2.0
армия,0.39794
армстронг,2.0
армянин,1.09691
армяно,2.0
армянский,0.769551
арно,1.69897
арнона,2.0
арочный,2.0
арпад,1.69897
аррана,1.69897
аррингтон,2.0
арройо,2.0
арроу,2.0
арсен,1.69897
арсенал,1.154902
арсениевич,1.69897
арсеньев,1.69897
арсис,1.69897
арсланагич,2.0
арт,1.522879
артамон,1.39794
артгид,2.0
артдивизион,2.0
артек,2.0
артема,2.0
артемий,2.0
артертон,1.69897
артикль,2.0
артикул,1.69897
артиллерийский,1.09691
артиллерист,2.0
артиллерия,1.221849
артист,0.958607
артистка,1.045757
арто,1.69897
артур,1.30103
артхив,2.0
артяков,2.0
артём,1.522879
аруба,1.522879
арумынский,2.0
арунас,2.0
аруначало,1.69897
арустукский,1.522879
арутаня,2.0
арх,1.30103
архангел,1.69897
архангельск,1.30103
архангельский,1.39794
археографический,1.39794
археола,1.69897
археолог,2.0
археологический,1.30103
археология,1.39794
архив,0.443697
архивирано,2.0
архивирование,2.0
архивировать,0.124939
архивный,0.236572
архиепископ,1.221849
архиерейский,1.69897
архимандрит,1.522879
архимед,1.69897
архипелаг,1.39794
архипов,2.0
архипович,1.69897
архистратиг,1.69897
архитектичка,2.0
архитектор,0.886057
архитектур,2.0
архитектура,0.638272
архитектурный,1.09691
аршакидский,2.0
аршин,1.69897
арьергард,1.69897
арьямехр,2.0
ас,1.522879
асад,1.39794
асак,2.0
асеана,2.0
асемблер,2.0
асен,2.0
асим,2.0
асимметричный,1.69897
асимметрия,2.0
асинхронный,1.69897
асир,1.69897
аск,2.0
аскапоцалько,2.0
аскатитлана,2.0
асквит,1.69897
аскер,2.0
асколоть,2.0
аскольд,1.69897
аспект,0.853872
аспектный,1.522879
аспекть,2.0
аспирант,2.0
аспирантура,2.0
аср,2.0
ассам,1.69897
ассамблея,0.823909
ассамский,1.69897
ассемблер,1.39794
ассиа,1.69897
ассизя,1.69897
ассимиляционный,2.0
ассимиляция,1.69897
ассириец,1.221849
ассирийский,1.39794
ассирия,1.522879
ассистенс,2.0
ассортимент,1.522879
ассоциативность,2.0
ассоциативный,2.0
ассоциация,0.886057
ассоциированный,1.39794
ассоциировать,2.0
ассоциироваться,2.0
асср,1.221849
аста,1.0
астана,1.39794
астанин,2.0
астафьев,1.69897
астахов,2.0
астек,2.0
астекский,2.0
астерикс,1.69897
астероид,1.39794
астраханский,1.69897
астрахань,1.69897
астрель,1.39794
астролог,1.522879
астрологический,2.0
астрология,2.0
астронавт,1.154902
астроном,1.154902
астрономический,1.522879
астрономия,2.0
астрофизик,1.30103
астрофизический,2.0
асфальт,2.0
ата,1.30103
атабек,2.0
атабу,2.0
атака,0.853872
атакама,2.0
атаквать,2.0
атаковать,1.09691
ататюрк,2.0
аташкада,2.0
атд,1.221849
атеист,2.0
атемостлить,2.0
атеш,1.69897
атинский,2.0
аткинс,1.69897
аткинсон,2.0
атлант,2.0
атланта,2.0
атлантика,1.39794
атлантический,1.154902
атлас,1.30103
атлет,1.69897
атлетика,1.09691
атлетико,2.0
атль,2.0
атлькауать,2.0
атмосфера,1.221849
атмосферный,1.522879
атоксил,2.0
атом,1.69897
атомный,0.958607
атомоход,1.69897
атомстройэкспорт,2.0
атомфлот,2.0
атосопс,2.0
атр,1.522879
атрибут,0.920819
атрибутить,2.0
атрибуция,2.0
атс,2.0
атталь,2.0
аттара,2.0
атташе,1.69897
аттил,2.0
аттракцион,1.522879
ату,2.0
атэс,1.69897
аугсбург,1.30103
аугусто,1.522879
аудиенция,1.522879
аудио,1.0
аудиовизуальный,1.69897
аудиовставка,2.0
аудиоданные,2.0
аудиодиск,2.0
аудиозапись,2.0
аудиопостановка,2.0
аудиофайл,1.522879
аудит,1.69897
аудитор,1.69897
аудитория,1.69897
аудиторский,1.69897
аудхали,2.0
ауисотль,2.0
аукцион,1.69897
аулак,1.522879
аун,2.0
аутентификация,1.522879
аутизм,2.0
аутоматски,2.0
аутор,2.0
ауторск,2.0
ауторство,2.0
ауфбау,2.0
ауэрбах,2.0
афанасий,1.39794
афанасьев,2.0
афганец,1.69897
афганистан,0.69897
афганский,0.823909
афинажный,2.0
афинский,2.0
афины,1.30103
афиша,2.0
афк,2.0
афонин,2.0
афонский,1.522879
африка,0.657577
африканец,2.0
африканистика,1.69897
африканский,1.09691
африкен,2.0
африкимусульманский,2.0
афро,2.0
афроамериканец,1.522879
афроамериканский,2.0
афсарийя,2.0
афумати,2.0
аффилировать,1.69897
афшара,2.0
афшарид,2.0
афшин,2.0
ахалций,1.69897
ахалцикский,1.69897
ахан,2.0
ахать,1.39794
ахбар,2.0
ахваз,1.39794
ахеменид,1.69897
ахеменида,2.0
ахеменидский,1.69897
ахен,1.69897
ахл,1.69897
ахмад,1.522879
ахмади,2.0
ахмадинежад,2.0
ахмадит,2.0
ахмат,2.0
ахмед,1.045757
ахмедов,2.0
ахмедович,2.0
ахмет,1.154902
ахома,1.69897
ахромей,2.0
ахунд,2.0
ахшунвар,2.0
ахьяр,2.0
ацтек,2.0
ацтекидоацтекский,2.0
ацтекидоколумбовый,2.0
ацтековкалендарь,2.0
ацтековскрыть,2.0
ацтекский,1.69897
ацтлан,2.0
ачех,1.39794
ачехский,1.69897
ачуметь,2.0
ашаякатль,2.0
ашгабат,2.0
ашкеназ,2.0
ашмор,1.69897
ашот,1.522879
аштара,2.0
ашулукский,2.0
ашур,2.0
ашхабад,1.39794
аэро,2.0
аэродинамика,2.0
аэродром,2.0
аэродромный,2.0
аэрокосмический,2.0
аэроплан,1.69897
аэропорт,0.853872
аэросила,2.0
аэростат,1.69897
аэрофлот,1.69897
аэрофотоснимок,2.0
аэс,1.30103
аякса,2.0
аяр,2.0
аятолл,2.0
баба,1.39794
бабаков,2.0
бабакр,2.0
бабан,1.69897
бабич,2.0
бабичалить,1.69897
бабрак,1.69897
бабушка,1.69897
бавария,1.30103
баварский,1.39794
баг,2.0
багаж,1.522879
багамский,1.39794
багамы,1.69897
баггести,2.0
багдад,1.154902
багдади,1.69897
багдадский,1.522879
багер,2.0
багерабад,2.0
багерь,2.0
багиров,2.0
багмалёк,2.0
багорик,2.0
бадда,2.0
бадди,2.0
баден,1.69897
бадеран,2.0
баджувец,2.0
бадоева,2.0
бажай,2.0
баженин,1.69897
баженов,1.69897
бажин,2.0
база,0.522879
базальт,2.0
базар,1.39794
бази,1.69897
базигера,2.0
базиран,2.0
базирань,2.0
базирование,2.0
базироваться,1.221849
базис,2.0
базный,2.0
базовый,0.886057
базть,2.0
баиов,2.0
байго,2.0
байд,2.0
байдарочник,2.0
байден,1.522879
байденароссийско,2.0
байка,2.0
байкал,1.69897
байков,1.39794
байконур,1.09691
байлекан,2.0
байно,2.0
байнс,1.69897
байрам,1.522879
байсар,2.0
байт,1.09691
байтак,1.522879
байткод,1.39794
байтовый,1.522879
байтокод,2.0
байян,2.0
байёрса,2.0
бак,2.0
бакалавр,2.0
бакалавриат,2.0
бакес,2.0
бакиятолл,2.0
баккехусать,2.0
бакленд,1.69897
бакли,1.522879
бакр,1.69897
бакстон,1.69897
бактериальный,2.0
бактериофаг,2.0
бактерия,1.522879
бактриец,2.0
баку,1.30103
бал,2.0
балажа,1.69897
балакл,2.0
балаклава,1.522879
балаклаваукр,2.0
балаклавский,1.522879
баланс,1.522879
балансовый,2.0
баласанян,2.0
